timestamp,hpa,target_kind,target_name,current_replicas,desired_replicas,min_replicas,max_replicas,current_cpu_utilization,target_cpu_utilization,last_scale_time,scale_up_stabilization_seconds,scale_up_select_policy,scale_up_policies,scale_down_stabilization_seconds,scale_down_select_policy,scale_down_policies,able_to_scale_status,able_to_scale_reason,able_to_scale_message,scaling_active_status,scaling_active_reason,scaling_active_message,scaling_limited_status,scaling_limited_reason,scaling_limited_message
2026-09-21T23:52:43.509Z,api-hpa,Deployment,api,2,1,1,5,5,70,2026-09-21T23:52:39Z,0,Max,"[{""periodSeconds"": 15, ""type"": ""Pods"", ""value"": 4}, {""periodSeconds"": 15, ""type"": ""Percent"", ""value"": 400}]",120,Min,"[{""periodSeconds"": 60, ""type"": ""Pods"", ""value"": 1}]",True,SucceededRescale,the HPA controller was able to update the target scale to 1,True,ValidMetricFound,the HPA was able to successfully calculate a replica count from cpu resource utilization (percentage of request),False,DesiredWithinRange,the desired count is within the acceptable range
2026-09-21T23:52:48.509Z,api-hpa,Deployment,api,2,1,1,5,5,70,2026-09-21T23:52:39Z,0,Max,"[{""periodSeconds"": 15, ""type"": ""Pods"", ""value"": 4}, {""periodSeconds"": 15, ""type"": ""Percent"", ""value"": 400}]",120,Min,"[{""periodSeconds"": 60, ""type"": ""Pods"", ""value"": 1}]",True,SucceededRescale,the HPA controller was able to update the target scale to 1,True,ValidMetricFound,the HPA was able to successfully calculate a replica count from cpu resource utilization (percentage of request),False,DesiredWithinRange,the desired count is within the acceptable range
2026-09-21T23:52:53.509Z,api-hpa,Deployment,api,2,1,1,5,5,70,2026-09-21T23:52:39Z,0,Max,"[{""periodSeconds"": 15, ""type"": ""Pods"", ""value"": 4}, {""periodSeconds"": 15, ""type"": ""Percent"", ""value"": 400}]",120,Min,"[{""periodSeconds"": 60, ""type"": ""Pods"", ""value"": 1}]",True,SucceededRescale,the HPA controller was able to update the target scale to 1,True,ValidMetricFound,the HPA was able to successfully calculate a replica count from cpu resource utilization (percentage of request),False,DesiredWithinRange,the desired count is within the acceptable range
2026-09-21T23:52:58.510Z,api-hpa,Deployment,api,1,1,1,5,5,70,2026-09-21T23:52:39Z,0,Max,"[{""periodSeconds"": 15, ""type"": ""Pods"", ""value"": 4}, {""periodSeconds"": 15, ""type"": ""Percent"", ""value"": 400}]",120,Min,"[{""periodSeconds"": 60, ""type"": ""Pods"", ""value"": 1}]",True,ReadyForNewScale,recommended size matches current size,True,ValidMetricFound,the HPA was able to successfully calculate a replica count from cpu resource utilization (percentage of request),False,DesiredWithinRange,the desired count is within the acceptable range
2026-09-21T23:53:03.510Z,api-hpa,Deployment,api,1,1,1,5,5,70,2026-09-21T23:52:39Z,0,Max,"[{""periodSeconds"": 15, ""type"": ""Pods"", ""value"": 4}, {""periodSeconds"": 15, ""type"": ""Percent"", ""value"": 400}]",120,Min,"[{""periodSeconds"": 60, ""type"": ""Pods"", ""value"": 1}]",True,ReadyForNewScale,recommended size matches current size,True,ValidMetricFound,the HPA was able to successfully calculate a replica count from cpu resource utilization (percentage of request),False,DesiredWithinRange,the desired count is within the acceptable range
2026-09-21T23:53:08.511Z,api-hpa,Deployment,api,1,1,1,5,5,70,2026-09-21T23:52:39Z,0,Max,"[{""periodSeconds"": 15, ""type"": ""Pods"", ""value"": 4}, {""periodSeconds"": 15, ""type"": ""Percent"", ""value"": 400}]",120,Min,"[{""periodSeconds"": 60, ""type"": ""Pods"", ""value"": 1}]",True,ReadyForNewScale,recommended size matches current size,True,ValidMetricFound,the HPA was able to successfully calculate a replica count from cpu resource utilization (percentage of request),False,DesiredWithinRange,the desired count is within the acceptable range
2026-09-21T23:53:13.511Z,api-hpa,Deployment,api,1,1,1,5,5,70,2026-09-21T23:52:39Z,0,Max,"[{""periodSeconds"": 15, ""type"": ""Pods"", ""value"": 4}, {""periodSeconds"": 15, ""type"": ""Percent"", ""value"": 400}]",120,Min,"[{""periodSeconds"": 60, ""type"": ""Pods"", ""value"": 1}]",True,ReadyForNewScale,recommended size matches current size,True,ValidMetricFound,the HPA was able to successfully calculate a replica count from cpu resource utilization (percentage of request),False,DesiredWithinRange,the desired count is within the acceptable range
2026-09-21T23:53:18.511Z,api-hpa,Deployment,api,1,1,1,5,5,70,2026-09-21T23:52:39Z,0,Max,"[{""periodSeconds"": 15, ""type"": ""Pods"", ""value"": 4}, {""periodSeconds"": 15, ""type"": ""Percent"", ""value"": 400}]",120,Min,"[{""periodSeconds"": 60, ""type"": ""Pods"", ""value"": 1}]",True,ReadyForNewScale,recommended size matches current size,True,ValidMetricFound,the HPA was able to successfully calculate a replica count from cpu resource utilization (percentage of request),False,DesiredWithinRange,the desired count is within the acceptable range
2026-09-21T23:53:23.512Z,api-hpa,Deployment,api,1,1,1,5,5,70,2026-09-21T23:52:39Z,0,Max,"[{""periodSeconds"": 15, ""type"": ""Pods"", ""value"": 4}, {""periodSeconds"": 15, ""type"": ""Percent"", ""value"": 400}]",120,Min,"[{""periodSeconds"": 60, ""type"": ""Pods"", ""value"": 1}]",True,ReadyForNewScale,recommended size matches current size,True,ValidMetricFound,the HPA was able to successfully calculate a replica count from cpu resource utilization (percentage of request),False,DesiredWithinRange,the desired count is within the acceptable range
2026-09-21T23:53:28.512Z,api-hpa,Deployment,api,1,1,1,5,5,70,2026-09-21T23:52:39Z,0,Max,"[{""periodSeconds"": 15, ""type"": ""Pods"", ""value"": 4}, {""periodSeconds"": 15, ""type"": ""Percent"", ""value"": 400}]",120,Min,"[{""periodSeconds"": 60, ""type"": ""Pods"", ""value"": 1}]",True,ReadyForNewScale,recommended size matches current size,True,ValidMetricFound,the HPA was able to successfully calculate a replica count from cpu resource utilization (percentage of request),False,DesiredWithinRange,the desired count is within the acceptable range
